Year,Month,Segment,Country,Units_Sold,Gross_Sales,Profit
2013,December,Home Office,Australia,1369,41009.98,7529.86
2014,September,Consumer,USA,4103,716220.35,36545.09
2013,March,Corporate,India,3407,127349.96,8270.41
2014,February,Home Office,Australia,3090,403327.88,40812.2
2014,November,Home Office,India,2698,307595.54,17825.27
2013,March,Home Office,Germany,1770,71743.7,8228.21
2014,December,Home Office,Germany,3358,664670.73,145941.13
2014,March,Consumer,India,1280,55038.99,4359.62
2014,June,Consumer,USA,806,121531.28,26201.44
2013,June,Corporate,Australia,3683,332074.48,82502.3
2013,June,Consumer,Canada,1754,43534.15,5117.96
2013,July,Consumer,UK,1337,167788.2,13254.88
2013,June,Consumer,India,1229,230002.4,44426.8
2014,October,Consumer,Australia,1350,67385.09,9728.27
2014,August,Corporate,USA,2108,98877.92,12759.35
2014,August,Small Business,UK,1152,142005.27,27924.8
2014,February,Corporate,India,1525,293330.21,36405.39
2014,October,Home Office,Canada,531,64981.18,5340.9
2014,June,Corporate,India,3499,224083.62,21619.91
2013,August,Home Office,USA,4549,491920.0,46390.3
2013,September,Small Business,UK,4221,164170.72,23642.36
2013,March,Consumer,Germany,3769,384397.64,42339.24
2014,September,Consumer,UK,3852,120746.29,11519.43
2014,September,Consumer,India,2296,87374.44,20013.6
2014,July,Consumer,USA,4211,407480.57,46070.5
2014,October,Home Office,UK,1284,217812.88,47651.29
2014,April,Corporate,UK,1576,127510.71,9564.31
2014,December,Home Office,USA,378,23685.1,4507.59
2013,October,Home Office,USA,2064,342183.98,34431.66
2013,November,Consumer,UK,1335,32780.97,3365.47
2014,July,Home Office,Australia,3701,546382.43,37748.63
2014,August,Home Office,Germany,4281,685397.43,147935.08
2013,November,Consumer,USA,1339,233247.28,22300.23
2014,September,Small Business,Canada,2473,459851.11,45423.79
2013,April,Corporate,Australia,4070,138489.93,16749.81
2013,January,Corporate,India,2649,48527.92,5168.43
2014,December,Small Business,India,4652,668785.34,94098.78
2013,March,Small Business,Australia,4973,595308.85,137908.12
2013,September,Home Office,Canada,1837,132997.23,24977.81
2013,April,Consumer,India,3259,528535.19,31869.21
2013,November,Small Business,Germany,4881,642147.38,80170.0
2014,February,Corporate,India,2792,309729.36,39188.96
2014,October,Small Business,India,1225,176911.49,37466.8
2013,December,Home Office,UK,1631,211770.01,43078.39
2013,November,Corporate,USA,2725,442303.02,58882.78
2013,November,Home Office,UK,4586,772620.28,183852.93
2013,November,Small Business,Australia,4220,329864.56,48398.41
2014,October,Consumer,Germany,1482,221376.08,40965.17
2013,June,Small Business,India,1034,86867.49,5883.26
2014,December,Corporate,Australia,1034,81783.43,4450.55
2013,June,Small Business,India,1153,196944.29,12638.33
2013,September,Consumer,India,4427,104405.8,10373.52
2013,October,Home Office,USA,1357,36185.27,1979.3
2013,October,Consumer,Australia,1527,142329.21,20974.93
2013,January,Corporate,Canada,1524,198971.15,12455.73
2013,March,Home Office,Canada,4110,638846.3,42390.79
2014,January,Corporate,Australia,3692,486704.66,109543.76
2014,January,Small Business,India,4060,275595.0,30102.04
2014,October,Consumer,Australia,185,4084.66,230.41
2013,March,Home Office,UK,2664,207306.66,11446.37
2013,January,Consumer,Germany,1611,19737.2,1623.09
2013,June,Small Business,Australia,3471,602982.06,54427.35
2014,October,Consumer,UK,2206,210651.09,19015.34
2013,January,Consumer,UK,854,36741.84,6230.36
2013,August,Small Business,USA,4849,552963.39,87463.27
2014,January,Consumer,UK,1035,88412.99,10318.14
2013,October,Consumer,USA,4869,442846.09,38584.38
2014,July,Small Business,UK,2259,166673.03,25218.25
2014,March,Consumer,Canada,4995,286591.91,32457.47
2014,December,Consumer,Australia,1267,193946.13,20048.29
2014,September,Small Business,Canada,1719,43881.84,10233.7
2013,August,Corporate,Canada,2805,317945.12,44809.27
2013,April,Small Business,Germany,3842,391293.67,26106.45
2014,December,Home Office,Australia,2825,543649.03,62406.17
2013,September,Consumer,Germany,4025,655954.25,61920.98
2014,June,Small Business,USA,1405,18477.25,2249.9
2013,March,Home Office,Canada,489,57809.16,11857.62
2013,July,Consumer,Canada,2954,303642.32,42089.76
2014,September,Corporate,Australia,448,28265.88,6787.62
2014,May,Home Office,India,951,29796.56,2074.18
2013,December,Consumer,UK,1611,213753.62,49788.5
2014,February,Home Office,Australia,4844,632182.88,155683.17
2014,November,Small Business,India,3959,183715.63,20911.89
2013,July,Home Office,Canada,4949,154426.53,16628.34
2014,July,Home Office,Germany,2244,338863.02,60124.37
2014,June,Corporate,Canada,1468,192216.36,17987.21
2014,May,Home Office,India,1851,256289.78,13868.09
2014,December,Corporate,India,1680,201625.22,35463.95
2013,January,Consumer,India,2910,163621.27,11172.22
2014,March,Corporate,USA,1776,336915.92,23599.01
2014,June,Small Business,Australia,2475,82723.1,18237.85
2013,August,Corporate,USA,383,39154.68,7999.68
2014,April,Small Business,Canada,799,145168.01,21562.97
2014,January,Consumer,India,163,8492.02,1994.52
2013,August,Home Office,Germany,859,101084.67,24190.95
2013,October,Small Business,Canada,4739,196527.5,12973.52
2014,February,Consumer,Canada,4361,524960.15,47846.32
2013,July,Home Office,USA,3682,511238.67,93378.02
2014,January,Small Business,USA,2469,306806.12,65073.52
2013,August,Small Business,UK,1690,162222.42,8701.67
2014,March,Home Office,Germany,119,18010.5,3299.02
2013,June,Consumer,Germany,4856,841325.44,48864.87
2013,August,Consumer,Germany,1551,67843.66,13983.36
2013,July,Small Business,Australia,322,14556.69,2442.98
2014,November,Small Business,USA,4311,174621.83,26205.59
2013,August,Corporate,USA,3640,573174.05,33481.62
2014,October,Corporate,Germany,4478,359548.7,81015.7
2013,March,Home Office,Australia,1367,60197.27,12446.85
2014,February,Home Office,Canada,2040,32197.57,1774.64
2013,February,Small Business,USA,2250,358890.02,61346.39
2014,March,Corporate,India,2658,58573.34,6895.22
2014,October,Corporate,India,3278,374133.11,44102.25
2014,November,Small Business,India,4728,385559.94,24412.63
2013,November,Small Business,India,3352,499227.53,39022.76
2014,July,Corporate,India,3649,297904.74,31937.95
2014,January,Home Office,Canada,1362,212973.42,26348.19
2014,July,Consumer,UK,112,15760.66,2515.95
2014,September,Corporate,Canada,3455,179683.79,33279.11
2014,May,Home Office,USA,2818,451724.89,58572.67
2013,September,Small Business,Germany,4117,451539.51,34146.78
2014,August,Home Office,USA,2690,317391.97,45514.74
2014,June,Home Office,Germany,3300,270782.67,57270.71
2014,February,Small Business,Australia,2113,383470.64,46158.37
2013,January,Corporate,USA,483,86852.0,15503.96
2013,October,Home Office,Germany,4429,325626.83,26598.71
2014,March,Small Business,Canada,3886,698483.86,57073.09
2013,July,Consumer,Germany,4314,349295.6,27611.26
2014,January,Home Office,Germany,2989,309796.14,44890.73
2013,July,Home Office,Canada,1447,272991.99,29019.01
2014,July,Small Business,USA,4415,476942.66,59080.48
2014,February,Home Office,Australia,629,125529.43,13337.11
2013,August,Consumer,USA,1448,272147.94,39928.7
2013,August,Small Business,UK,804,112758.32,7097.29
2013,August,Small Business,USA,325,27384.95,5060.95
2014,November,Consumer,India,101,5239.22,924.73
2013,September,Home Office,Canada,846,157125.83,24037.25
2013,April,Small Business,UK,4592,474472.0,58430.72
2013,August,Consumer,Canada,815,130177.19,9357.68
2014,March,Home Office,Germany,1652,120376.94,8402.71
2013,July,Small Business,Australia,937,119151.52,21047.65
2013,February,Small Business,UK,1924,173762.01,27799.69
2013,February,Small Business,Canada,2660,462407.05,97918.37
2014,April,Consumer,Australia,3424,290119.46,55665.33
2014,April,Consumer,UK,2591,268047.49,43163.65
2014,February,Corporate,USA,3674,534790.74,132196.67
2014,November,Small Business,Germany,1196,93850.1,23118.46
2014,July,Small Business,India,1383,198004.31,14850.79
2014,May,Consumer,Germany,1422,258251.24,43318.9
2014,July,Home Office,UK,1986,82073.05,19300.96
2014,March,Home Office,Australia,3355,47124.27,4696.0
2014,November,Small Business,Germany,2578,93066.92,20005.39
2013,March,Small Business,USA,1747,62494.52,3749.64
2014,December,Consumer,UK,911,38639.54,9051.66
2013,July,Corporate,Australia,2291,200992.6,42373.64
2014,August,Small Business,Germany,4969,152109.25,12289.19
2014,December,Home Office,India,106,20255.81,2641.41
2014,July,Corporate,UK,1273,56051.16,9957.84
2013,January,Home Office,Canada,3424,145782.52,12543.76
2014,May,Corporate,Canada,1236,111714.19,12044.81
2014,May,Consumer,Canada,2367,90149.27,6268.96
2013,June,Home Office,UK,2668,200813.46,16818.7
2014,December,Home Office,Germany,3236,638526.57,116847.03
2014,September,Small Business,UK,3617,37437.38,4960.45
2013,October,Corporate,India,996,105633.2,22120.73
2014,October,Consumer,UK,2499,328303.9,57757.63
2014,June,Consumer,Australia,2983,280424.65,33267.73
2014,July,Corporate,Germany,3914,776431.38,66125.39
2013,May,Home Office,UK,543,60169.49,11323.63
2013,October,Home Office,Germany,2613,336580.51,28029.56
2014,June,Corporate,UK,3479,105108.78,17247.6
2013,January,Home Office,UK,1948,192058.32,29492.49
2014,June,Small Business,Australia,3731,214504.24,14977.51
2014,July,Small Business,USA,3890,639264.64,38047.46
2014,April,Home Office,Canada,171,21602.65,4471.87
2013,October,Consumer,USA,3332,213131.15,42457.85
2014,October,Small Business,Germany,519,35009.99,6810.27
2014,December,Corporate,USA,4139,226675.85,26049.71
2013,November,Small Business,Australia,4154,198875.47,22302.88
2013,August,Consumer,UK,2325,101033.33,11907.81
2014,June,Consumer,Australia,4689,884704.78,158764.59
2013,November,Small Business,Canada,838,122030.62,20185.27
2014,February,Consumer,Germany,361,44550.26,2715.05
2014,December,Corporate,UK,2012,245596.41,57518.74
2013,November,Home Office,UK,4039,766141.58,152555.6
2014,January,Corporate,India,687,17846.48,1176.78
2013,April,Consumer,Germany,1995,86673.36,16862.7
2014,February,Corporate,UK,3833,321893.06,79142.56
2013,April,Home Office,Australia,3900,597079.64,93814.07
2013,December,Consumer,UK,1538,281397.03,46930.15
2013,April,Home Office,Germany,2491,67708.47,5345.82
2014,July,Small Business,Germany,2560,226007.06,11495.79
2013,April,Small Business,Germany,389,16186.89,2070.21
2014,November,Small Business,Australia,511,97918.18,20628.27
2014,November,Small Business,Australia,3939,395208.52,23666.59
2014,May,Small Business,Germany,1671,165723.47,31514.12
2013,November,Home Office,UK,1444,80428.24,5107.15
2013,August,Small Business,UK,3516,42422.47,4678.65
2013,January,Small Business,UK,4578,496475.15,87616.38
2014,March,Small Business,UK,210,18873.34,3947.45
2014,January,Corporate,Australia,3487,143379.9,24471.78
2014,February,Corporate,USA,1638,102425.58,22483.23
2013,September,Home Office,USA,4946,433447.14,85037.88
2013,June,Home Office,UK,2669,42862.26,6673.63
2014,April,Consumer,USA,2478,58375.28,9581.55
2013,September,Home Office,USA,1696,76133.84,10909.44
2013,December,Small Business,India,3348,556021.62,51268.28
2013,April,Home Office,USA,2864,452825.21,66749.8
2014,November,Home Office,India,3606,674966.58,140234.08
2014,September,Consumer,Germany,4529,874796.04,160208.97
2014,September,Corporate,UK,587,106488.86,25355.11
2014,August,Consumer,USA,3780,267469.14,61403.82
2014,March,Home Office,Germany,3274,226003.12,11436.46
2014,May,Small Business,USA,2029,217299.06,53423.74
2014,August,Consumer,USA,4254,395840.47,32841.27
2013,December,Home Office,Australia,123,9386.73,581.02
2013,July,Home Office,USA,801,91468.11,18007.61
2013,September,Corporate,India,1017,166292.66,39789.49
2013,June,Corporate,USA,4028,464233.08,95169.38
2014,December,Corporate,UK,4369,164217.23,24837.36
2014,May,Home Office,Canada,2482,275975.77,67631.02
2014,October,Small Business,Germany,1290,112592.74,20587.87
2013,December,Small Business,Australia,1236,180522.83,35401.35
2014,November,Small Business,USA,4629,355915.52,39238.25
2014,October,Consumer,USA,3011,235025.19,33091.61
2014,October,Small Business,Australia,225,7417.86,1384.74
2013,June,Small Business,Germany,1338,227937.79,50406.0
2014,December,Consumer,Germany,321,21184.41,2915.61
2014,April,Corporate,Germany,4202,187621.35,13965.11
2014,February,Home Office,Australia,1039,101824.19,8550.48
2014,October,Corporate,Germany,4893,447381.06,66778.64
2013,January,Corporate,Canada,2302,150777.15,20980.12
2013,September,Small Business,USA,3873,697128.62,47413.51
2013,April,Consumer,USA,913,115394.62,19721.5
2014,February,Small Business,India,216,35942.25,3413.52
2014,February,Corporate,Germany,4497,829693.82,160273.29
2013,February,Consumer,Canada,469,47937.51,5996.61
2013,February,Home Office,India,2170,336948.65,75329.99
2013,July,Home Office,Germany,196,32253.92,5683.73
2014,January,Corporate,Australia,413,78278.43,11352.29
2014,May,Small Business,USA,2377,252292.35,53251.1
2013,November,Home Office,Australia,4577,565060.54,44981.99
2013,May,Small Business,Germany,4937,342808.62,20525.27
2014,June,Consumer,USA,3278,654595.48,123595.47
2013,May,Home Office,Germany,1599,31728.57,7647.99
2013,October,Home Office,USA,4025,576559.19,40361.77
2013,June,Corporate,India,4451,156500.31,15813.35
2013,October,Consumer,USA,4854,615725.75,35629.26
2014,April,Consumer,Canada,4641,337381.34,69178.63
2013,October,Consumer,Canada,3142,575666.93,122346.32
2014,November,Home Office,USA,1405,171884.48,23568.28
2013,November,Corporate,India,2383,406710.71,27058.76
2014,September,Corporate,India,1217,197971.7,24007.55
2014,May,Small Business,UK,4923,681940.62,48344.98
2013,February,Small Business,Germany,2583,353129.37,18984.08
2014,November,Consumer,USA,3017,418597.26,104501.02
2014,November,Corporate,India,3700,299084.83,64904.86
2014,March,Corporate,Germany,2502,78221.03,8899.26
2014,May,Consumer,Canada,3515,298759.42,45843.22
2013,May,Small Business,India,467,49311.33,9429.32
2014,March,Consumer,USA,215,25608.18,5069.75
2014,December,Corporate,UK,3279,205191.35,42753.46
2014,June,Corporate,Germany,3492,303375.25,29964.77
2014,August,Small Business,Canada,1002,76689.76,5521.45
2014,August,Home Office,Canada,281,47008.45,3605.53
2014,April,Small Business,India,4684,382037.38,82199.17
2014,November,Corporate,USA,1025,58876.92,14620.08
2014,October,Consumer,USA,4652,449456.52,50979.44
2013,September,Small Business,Germany,1533,130278.4,17367.11
2014,December,Home Office,Germany,1276,184604.35,35612.1
2013,July,Small Business,India,4141,171000.03,37516.1
2014,November,Small Business,Canada,3127,526154.49,74339.14
2013,May,Consumer,Australia,645,28928.94,2795.87
2014,March,Small Business,India,2942,110436.25,13304.15
2014,May,Home Office,Germany,4003,659320.08,65680.63
2014,December,Corporate,UK,2557,192073.66,31266.86
2014,December,Corporate,Canada,4784,831275.99,122635.93
2013,September,Small Business,Germany,146,8500.23,1233.98
2014,November,Small Business,UK,791,32896.18,2630.81
2013,March,Corporate,India,3158,541446.98,93107.04
2014,July,Consumer,USA,4351,89754.53,7144.13
2013,April,Consumer,India,3486,645662.95,107733.78
2014,October,Home Office,UK,4452,843786.94,126175.76
2014,July,Small Business,USA,288,34906.48,8032.54
2013,August,Home Office,Australia,895,110460.93,18576.73
2014,June,Corporate,India,2843,451369.13,55431.41
2013,April,Consumer,USA,4386,685251.01,75506.56
2014,March,Small Business,India,1726,56420.13,10502.71
2013,December,Corporate,UK,556,82863.72,5705.03
2014,June,Consumer,USA,150,12780.47,1526.59
2014,November,Consumer,Australia,4527,591629.6,67171.41
2014,February,Small Business,Germany,113,7747.09,389.52
2014,November,Consumer,Germany,3620,402106.65,83048.14
2014,February,Consumer,Australia,3867,49337.32,12110.12
2013,January,Corporate,Germany,2419,371452.15,80540.81
2014,August,Small Business,UK,1744,39410.7,4809.5
2014,May,Home Office,Australia,3375,627215.95,93486.88
2013,April,Small Business,India,3606,698713.52,55693.8
2014,June,Home Office,UK,660,11150.85,1680.3
2013,March,Home Office,Australia,4468,564058.18,97950.31
2013,March,Consumer,India,699,71123.54,13019.9
2014,September,Home Office,Canada,2592,92932.09,20908.21
2014,July,Small Business,Germany,2682,35669.18,4888.48
2013,January,Home Office,USA,1948,176746.78,26661.45
2013,January,Consumer,Germany,1099,83988.9,12945.32
2014,October,Small Business,USA,1191,206806.23,39863.71
2013,April,Corporate,Germany,1141,226119.46,24223.82
2014,December,Home Office,Germany,3580,400493.29,77011.53
2013,January,Consumer,India,2585,128052.04,26145.71
2014,January,Consumer,Canada,1568,298854.25,29187.9
2014,September,Consumer,USA,4958,830180.2,165768.44
2013,April,Small Business,Australia,1522,153005.36,11664.75
2014,March,Corporate,UK,2969,301130.58,32305.64
2014,June,Home Office,USA,335,36112.47,4691.92
2013,October,Home Office,India,4477,172184.2,38238.42
2014,February,Consumer,Australia,3939,313392.38,60229.37
2014,June,Home Office,India,4063,364584.71,55606.6
2014,December,Consumer,Germany,2709,332050.95,38457.61
2014,April,Home Office,Australia,4882,875852.14,151431.04
2013,January,Corporate,UK,4901,78255.52,7954.77
2014,January,Corporate,UK,4273,415686.88,66145.71
2013,November,Corporate,Australia,1244,20416.47,4530.23
2013,March,Corporate,Australia,4560,794494.57,66892.01
2014,April,Home Office,UK,4437,758387.95,185329.42
2014,May,Home Office,India,3742,113032.21,9556.49
2013,April,Corporate,India,1084,203040.38,18647.11
2014,July,Small Business,India,3351,615814.94,43035.89
2014,April,Small Business,Canada,4896,797550.2,156944.1
2013,October,Corporate,India,443,25658.7,3691.58
2014,August,Small Business,Germany,4554,87923.3,20901.3
2014,December,Corporate,Canada,2060,237148.2,51807.06
2013,August,Small Business,India,1584,281588.92,50791.59
2013,December,Small Business,Canada,1687,150046.53,9663.97
2014,July,Consumer,Australia,3676,183078.33,42357.0
2014,December,Home Office,UK,4518,440360.65,108387.38
2013,September,Consumer,UK,732,123769.5,9895.45
2013,November,Corporate,UK,1596,272016.89,15008.47
2014,July,Corporate,USA,2462,118178.36,21323.81
2014,February,Home Office,USA,313,34599.24,7209.57
2014,April,Home Office,UK,2377,58328.22,4039.23
2013,November,Consumer,Australia,4710,818507.54,51095.43
2013,July,Consumer,Australia,408,33547.75,1745.98
2013,November,Small Business,Canada,1873,40151.37,8721.19
2014,October,Corporate,Germany,4217,122926.06,6333.65
2014,July,Consumer,USA,2036,262772.32,34070.64
2013,February,Home Office,Canada,1529,302940.77,21840.21
2014,May,Small Business,Canada,2764,102104.13,7899.46
2014,July,Home Office,Germany,1808,233434.12,15793.12
2013,December,Corporate,Germany,3608,123825.69,10361.97
2013,July,Small Business,USA,347,42790.32,4101.83
2014,August,Small Business,UK,628,36284.2,7388.39
2014,July,Home Office,India,3938,299873.4,30063.29
2014,November,Corporate,India,225,39479.35,9124.95
2013,September,Home Office,UK,388,11774.03,1658.86
2014,April,Corporate,India,3735,384147.03,28130.12
2014,March,Corporate,Germany,676,74386.17,17820.34
2014,February,Consumer,UK,829,146424.67,29100.72
2014,November,Corporate,Australia,1375,126866.56,19274.17
2014,December,Home Office,Australia,3445,242927.25,17858.56
2013,July,Small Business,USA,4359,532273.06,116596.16
2014,November,Small Business,UK,3734,463025.55,58252.28
2014,August,Small Business,Australia,3047,430411.08,87252.3
2014,February,Corporate,Canada,424,43299.01,8903.2
2014,June,Small Business,USA,4904,896225.53,213025.4
2013,October,Home Office,USA,390,51685.25,6464.99
2014,August,Small Business,India,4783,931326.95,85739.55
2014,January,Home Office,UK,4014,360710.78,18431.01
2013,May,Corporate,USA,565,31333.16,3623.23
2013,August,Small Business,Germany,369,45326.22,9545.47
2013,April,Corporate,UK,1341,45929.69,10169.2
2014,June,Consumer,UK,2537,334477.28,81270.7
2014,May,Home Office,Germany,4039,287400.74,42536.1
2013,September,Small Business,USA,2314,403764.6,52295.07
2013,July,Home Office,India,244,30061.51,3357.61
2014,September,Home Office,USA,4874,565044.35,60217.62
2013,January,Small Business,Germany,615,85637.57,19599.64
2014,December,Small Business,Germany,1153,136123.58,20595.83
2014,April,Home Office,Germany,4615,815236.74,124048.42
2014,March,Small Business,India,2711,51059.87,8988.32
2014,May,Home Office,USA,3208,466747.15,62177.16
2013,September,Consumer,Germany,1043,198751.77,27870.47
2014,March,Corporate,Canada,4578,384087.66,39053.43
2014,June,Consumer,Australia,3465,289277.85,48983.49
2013,January,Small Business,Canada,218,22123.47,4907.04
2014,June,Home Office,UK,2816,512771.16,32162.04
2013,April,Consumer,USA,4737,703953.5,76922.93
2013,February,Home Office,India,767,117993.27,29105.49
2013,October,Home Office,Australia,2444,77511.84,8459.7
2014,July,Consumer,Canada,1306,154869.48,19587.93
2014,August,Consumer,Australia,4316,353775.27,30346.06
2014,September,Consumer,USA,4134,825606.3,147060.49
2013,April,Consumer,Australia,3765,538281.26,67625.48
2014,September,Small Business,Australia,2732,372115.58,64021.74
2014,October,Consumer,UK,3541,498499.05,57742.0
2013,April,Consumer,Germany,2906,442546.2,77311.11
2014,July,Corporate,India,927,175553.66,32143.46
2014,January,Consumer,USA,3855,596689.94,88673.13
2013,October,Consumer,USA,2853,101877.35,17019.46
2013,January,Consumer,USA,2086,69736.01,14789.75
2013,September,Home Office,India,4731,771790.66,46241.9
2014,January,Consumer,India,4113,191706.0,26661.08
2014,November,Consumer,USA,2848,201966.57,27936.17
2014,June,Corporate,Australia,1080,138405.54,29629.61
2013,March,Small Business,Germany,4420,73492.81,14440.54
2013,December,Home Office,Germany,2123,331015.77,54943.4
2013,March,Home Office,Australia,4068,385733.66,85204.19
2014,September,Small Business,USA,2321,335243.08,35481.25
2014,June,Home Office,Australia,4130,704388.76,169286.38
2013,September,Corporate,Canada,4512,265197.22,26785.56
2013,June,Corporate,Germany,1913,314672.79,70665.68
2014,June,Corporate,Germany,648,16378.54,2315.67
2014,August,Consumer,India,1791,41462.79,3675.37
2014,December,Small Business,Australia,1146,179637.93,16825.34
2013,October,Corporate,Australia,359,54156.04,13521.0
2014,December,Small Business,India,689,122670.87,23320.85
2014,July,Small Business,Germany,4224,46460.2,6128.5
2014,October,Corporate,Canada,706,47843.55,5266.6
2014,September,Home Office,Germany,4959,793722.09,162792.25
2014,March,Small Business,India,4941,896937.79,148790.33
2014,July,Corporate,UK,3970,224344.74,11453.07
2013,May,Small Business,Germany,4602,841941.91,76573.2
2014,June,Small Business,USA,4106,152209.41,29084.54
2013,August,Home Office,Germany,2897,49025.36,8765.95
2014,August,Home Office,Germany,2007,88270.87,13976.97
2014,September,Corporate,Australia,4606,704339.74,45028.27
2014,October,Consumer,India,2025,290166.95,20757.65
2013,August,Consumer,Germany,3908,62157.29,4608.97
2014,February,Corporate,Canada,366,57492.41,5788.76
2013,June,Consumer,UK,1657,195432.81,27710.13
2013,May,Small Business,Germany,313,50646.98,12596.24
2014,April,Consumer,Canada,4535,724677.65,161046.96
2013,December,Consumer,UK,2445,76943.56,16055.81
2013,June,Small Business,USA,860,10492.64,1987.29
2014,August,Corporate,Germany,4493,475891.97,118487.33
2013,September,Small Business,USA,1728,121456.53,13420.53
2014,January,Consumer,Canada,4364,190804.01,17558.24
2013,March,Home Office,Canada,4167,522915.26,120919.36
2014,November,Home Office,USA,3582,191715.84,12405.09
2014,December,Consumer,Canada,323,46079.83,8117.69
2014,January,Consumer,Australia,1425,164916.18,13110.74
2014,December,Small Business,Australia,1869,146476.11,29051.09
2013,January,Home Office,Canada,462,48303.88,10400.62
2013,August,Small Business,Australia,4455,333391.6,78795.18
2013,November,Home Office,USA,2379,267779.53,14795.67
2013,March,Home Office,India,471,17033.09,3971.58
2013,May,Home Office,Australia,3543,616569.21,37750.6
2013,June,Consumer,USA,4947,673453.76,72181.77
2014,April,Corporate,UK,3398,346373.21,83498.73
2014,July,Corporate,Germany,1302,123737.64,10764.73
2014,May,Small Business,Australia,3167,108911.75,17632.26
2013,November,Small Business,USA,4428,634995.15,124673.85
2014,November,Small Business,Canada,3468,253629.91,20982.69
2014,March,Consumer,India,3638,638567.02,66985.29
2014,September,Small Business,Germany,3154,491729.11,120895.36
2014,April,Home Office,Australia,4743,673229.44,120181.13
2013,December,Corporate,USA,3293,327340.99,36673.34
2014,February,Small Business,Canada,4677,426100.96,52938.14
2014,September,Consumer,USA,4806,410215.76,101723.06
2014,February,Home Office,UK,2859,191845.74,32172.39
2013,February,Small Business,USA,4504,103274.47,5175.89
2014,November,Consumer,Germany,1637,42641.03,4295.68
2013,September,Corporate,Australia,1145,170690.94,32134.23
2013,October,Corporate,Australia,3116,198679.57,48956.91
2014,June,Consumer,UK,3993,154124.78,10480.92
2013,October,Small Business,Australia,4657,673599.3,64478.86
2014,February,Consumer,Germany,2327,131581.15,17887.18
2013,January,Small Business,Australia,695,116102.67,23448.17
2013,August,Home Office,UK,2110,181162.85,26348.87
2013,December,Small Business,UK,3809,314873.99,57087.04
2014,August,Corporate,USA,540,85230.94,8009.19
2013,September,Small Business,Germany,648,118077.43,19770.46
2013,August,Small Business,India,4361,114725.14,28049.37
2014,December,Consumer,Canada,1003,63132.66,4736.23
2014,March,Consumer,Australia,1863,207536.5,38321.09
2014,November,Consumer,Germany,1796,259091.23,13452.81
2014,June,Corporate,Canada,4892,722958.62,179633.02
2013,June,Small Business,India,3049,549494.86,120515.41
2014,December,Consumer,Canada,4108,356268.8,40657.75
2013,December,Corporate,India,3692,263097.23,57575.88
2013,April,Home Office,Canada,2761,193732.55,29737.33
2014,April,Consumer,UK,2075,255259.04,59935.82
2013,January,Home Office,USA,2869,311194.85,47433.89
2014,August,Home Office,Canada,4290,808565.36,97950.57
2014,March,Corporate,Australia,4036,579087.04,128832.15
2014,September,Consumer,USA,4648,327145.46,59417.35
2013,August,Consumer,UK,2741,438332.04,66476.36
2014,December,Home Office,Germany,4520,851820.13,113057.63
2014,December,Home Office,Australia,837,53556.04,11911.38
2013,September,Home Office,UK,3854,339849.04,17576.36
2013,December,Home Office,UK,2884,322830.5,50403.47
2014,September,Corporate,USA,806,56656.04,5976.09
2014,March,Small Business,Canada,435,85581.19,13646.01
2014,September,Small Business,Australia,4776,657722.81,146555.81
2014,August,Corporate,Germany,3321,374072.51,52635.52
2014,July,Consumer,USA,2419,202361.81,12158.86
2014,May,Home Office,UK,629,53575.63,3857.11
2013,August,Small Business,USA,1219,135937.47,31278.88
2013,July,Corporate,UK,423,46471.33,5139.59
2013,October,Corporate,USA,1072,127898.76,14247.48
2014,June,Home Office,UK,2764,416412.78,23693.74
2014,July,Consumer,UK,1827,168966.42,34246.89
2014,December,Home Office,Australia,923,85404.86,8057.19
2014,June,Corporate,UK,913,72621.71,17873.65
2014,November,Consumer,India,2574,80792.91,18658.41
2014,November,Home Office,USA,3434,624627.02,72493.84
2013,November,Home Office,India,864,144740.04,9175.38
2013,February,Consumer,Australia,4779,189435.6,28480.84
2013,January,Consumer,Canada,1950,66905.85,8727.46
2014,October,Corporate,Canada,806,33406.12,2005.12
2014,December,Home Office,India,2310,29377.38,6520.27
2014,July,Corporate,USA,3121,301504.6,15478.6
2013,January,Home Office,Germany,1253,77036.37,6831.89
2014,November,Small Business,India,2212,215063.65,31188.19
2013,March,Corporate,Australia,3765,56208.7,10354.22
2014,October,Small Business,Australia,2973,289792.05,68959.93
2013,July,Corporate,India,2057,57522.65,9765.14
2014,August,Corporate,India,913,24961.16,2348.59
2014,December,Consumer,UK,4396,119075.96,7805.68
2013,September,Home Office,Germany,2484,220950.02,44833.05
2014,July,Small Business,India,622,44515.66,9184.41
2013,June,Consumer,Australia,3388,35841.75,1973.24
2014,September,Corporate,India,1748,80084.04,17281.15
2013,March,Small Business,USA,1772,237140.44,30530.33
2014,October,Small Business,Canada,2633,238064.23,45088.69
2013,September,Corporate,USA,2314,240164.71,21239.68
2014,September,Home Office,UK,1714,55689.66,7437.51
2014,August,Small Business,Canada,1614,38116.25,5730.58
2013,September,Consumer,Australia,3620,355806.24,24585.77
2014,January,Small Business,Canada,277,26771.06,2199.65
2013,March,Small Business,USA,515,80765.22,8118.16
2014,October,Small Business,UK,4743,134471.49,24894.06
2014,February,Small Business,USA,3202,593810.25,42366.78
2013,October,Home Office,Australia,840,35604.35,2845.26
2014,March,Corporate,UK,2305,309173.48,32443.82
2014,October,Small Business,UK,729,34416.74,4187.39
